"subject" "label" "activity" "measurement" "average"
1 1 "WALKING" "FrequencyDomain.BodyAcceleration-mean()-X" -0.202794306326316
1 1 "WALKING" "FrequencyDomain.BodyAcceleration-mean()-Y" 0.0897127264021053
1 1 "WALKING" "FrequencyDomain.BodyAcceleration-mean()-Z" -0.331560117789474
1 1 "WALKING" "FrequencyDomain.BodyAcceleration-std()-X" -0.319134719578947
1 1 "WALKING" "FrequencyDomain.BodyAcceleration-std()-Y" 0.056040006846
1 1 "WALKING" "FrequencyDomain.BodyAcceleration-std()-Z" -0.279686751494737
1 1 "WALKING" "FrequencyDomain.BodyAccelerationJerk-mean()-X" -0.170546964549579
1 1 "WALKING" "FrequencyDomain.BodyAccelerationJerk-mean()-Y" -0.0352255241130632
1 1 "WALKING" "FrequencyDomain.BodyAccelerationJerk-mean()-Z" -0.468999224631579
1 1 "WALKING" "FrequencyDomain.BodyAccelerationJerk-std()-X" -0.133586606326316
1 1 "WALKING" "FrequencyDomain.BodyAccelerationJerk-std()-Y" 0.106739857136
1 1 "WALKING" "FrequencyDomain.BodyAccelerationJerk-std()-Z" -0.534713440421053
1 1 "WALKING" "FrequencyDomain.BodyAccelerationMagnitude-mean()" -0.128623450629474
1 1 "WALKING" "FrequencyDomain.BodyAccelerationMagnitude-std()" -0.398032586842105
1 1 "WALKING" "FrequencyDomain.BodyAngularSpeed-mean()-X" -0.339032197115789
1 1 "WALKING" "FrequencyDomain.BodyAngularSpeed-mean()-Y" -0.103059416434737
1 1 "WALKING" "FrequencyDomain.BodyAngularSpeed-mean()-Z" -0.255940940315789
1 1 "WALKING" "FrequencyDomain.BodyAngularSpeed-std()-X" -0.516691938736842
1 1 "WALKING" "FrequencyDomain.BodyAngularSpeed-std()-Y" -0.0335081597884211
1 1 "WALKING" "FrequencyDomain.BodyAngularSpeed-std()-Z" -0.436562227473684
1 1 "WALKING" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude-mean()" -0.0571194000343158
1 1 "WALKING" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude-std()" -0.103492403002105
1 1 "WALKING" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude-mean()" -0.319308593778947
1 1 "WALKING" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude-std()" -0.381601911789474
1 1 "WALKING" "FrequencyDomain.BodyBodyAngularSpeedMagnitude-mean()" -0.199252568986316
1 1 "WALKING" "FrequencyDomain.BodyBodyAngularSpeedMagnitude-std()" -0.321017953894737
1 1 "WALKING" "TimeDomain.BodyAcceleration-mean()-X" 0.277330758736842
1 1 "WALKING" "TimeDomain.BodyAcceleration-mean()-Y" -0.0173838185273684
1 1 "WALKING" "TimeDomain.BodyAcceleration-mean()-Z" -0.111148103547368
1 1 "WALKING" "TimeDomain.BodyAcceleration-std()-X" -0.283740258842105
1 1 "WALKING" "TimeDomain.BodyAcceleration-std()-Y" 0.114461336747368
1 1 "WALKING" "TimeDomain.BodyAcceleration-std()-Z" -0.260027902210526
1 1 "WALKING" "TimeDomain.BodyAccelerationJerk-mean()-X" 0.0740416333157895
1 1 "WALKING" "TimeDomain.BodyAccelerationJerk-mean()-Y" 0.0282721095884211
1 1 "WALKING" "TimeDomain.BodyAccelerationJerk-mean()-Z" -0.00416840617789474
1 1 "WALKING" "TimeDomain.BodyAccelerationJerk-std()-X" -0.113615602435789
1 1 "WALKING" "TimeDomain.BodyAccelerationJerk-std()-Y" 0.0670025007684211
1 1 "WALKING" "TimeDomain.BodyAccelerationJerk-std()-Z" -0.502699788526316
1 1 "WALKING" "TimeDomain.BodyAccelerationJerkMagnitude-mean()" -0.141428809031579
1 1 "WALKING" "TimeDomain.BodyAccelerationJerkMagnitude-std()" -0.0744717500625263
1 1 "WALKING" "TimeDomain.BodyAccelerationMagnitude-mean()" -0.136971176556842
1 1 "WALKING" "TimeDomain.BodyAccelerationMagnitude-std()" -0.219688645631579
1 1 "WALKING" "TimeDomain.BodyAngularAcceleration-mean()-X" -0.0899975423705263
1 1 "WALKING" "TimeDomain.BodyAngularAcceleration-mean()-Y" -0.0398428709463158
1 1 "WALKING" "TimeDomain.BodyAngularAcceleration-mean()-Z" -0.0461309295021053
1 1 "WALKING" "TimeDomain.BodyAngularAcceleration-std()-X" -0.207421854757895
